topic_id,topic_name,documents,percentage,theme,distress_type,keywords
2,"din, baad, saal, mei",4770,6.77,General Venting,Coping Expression,"din, baad, saal, mei, baat, agar, bc, itna, hain, ghar"
0,"dsa, leetcode, coding, learn",3398,4.82,"Careers, Placements & Jobs",Career Distress,"dsa, leetcode, coding, learn, learning, code, web, python, projects, development"
10,"cat, mba, iim, profile",3366,4.78,Higher Studies & Global Mobility,Career Distress,"cat, mba, iim, profile, job, work, gap, percentile, college, calls"
37,"engineering, semester, classes, school",3184,4.52,College & Academic Decisions,Informational / Low-Distress,"engineering, semester, classes, school, ve, don, degree, class, work, gpa"
39,"jee, school, parents, started",2908,4.13,Entrance Exam Preparation,Academic Distress,"jee, school, parents, started, didn, class, coaching, life, don, study"
4,"lpa, company, role, offer",2763,3.92,"Careers, Placements & Jobs",Career Distress,"lpa, company, role, offer, work, job, companies, switch, salary, experience"
3,"upsc, prelims, attempt, exam",2758,3.92,Entrance Exam Preparation,Academic Distress,"upsc, prelims, attempt, exam, preparation, job, mains, preparing, clear, don"
12,"boards, marks, board, paper",2704,3.84,Entrance Exam Preparation,Academic Distress,"boards, marks, board, paper, maths, exam, english, hindi, pre, cbse"
5,"branch, cse, college, nit",2485,3.53,College & Academic Decisions,Informational / Low-Distress,"branch, cse, college, nit, ece, core, branches, colleges, rank, placements"
8,"sir, maths, hain, physics",2432,3.45,Coaching & Study Resources,Academic Distress,"sir, maths, hain, physics, lectures, backlog, chem, chemistry, aata, karna"
16,"drop, jee, college, percentile",2322,3.3,Entrance Exam Preparation,Academic Distress,"drop, jee, college, percentile, mains, jee mains, partial, attempt, ile, dropper"
7,"internship, resume, job, experience",2250,3.19,"Careers, Placements & Jobs",Career Distress,"internship, resume, job, experience, summer, internships, work, skills, engineering, gpa"
1,"gate, mtech, exam, gate exam",2119,3.01,Higher Studies & Global Mobility,Career Distress,"gate, mtech, exam, gate exam, job, cse, college, da, prepare, iit"
13,"india, abroad, masters, university",1960,2.78,Higher Studies & Global Mobility,Career Distress,"india, abroad, masters, university, germany, myqualifications, visa, job, uk, degree"
35,"physics, chemistry, maths, chapters",1880,2.67,Entrance Exam Preparation,Academic Distress,"physics, chemistry, maths, chapters, class, chem, pyqs, questions, syllabus, backlog"
9,"cat, varc, mocks, dilr",1815,2.58,Entrance Exam Preparation,Academic Distress,"cat, varc, mocks, dilr, quants, mock, questions, qa, score, xat"
26,"friends, life, college, don",1781,2.53,Mental Health & Wellbeing,Emotional Distress,"friends, life, college, don, talk, friend, group, lonely, social, study"
34,"sleep, study, hours, anxiety",1533,2.18,Mental Health & Wellbeing,Emotional Distress,"sleep, study, hours, anxiety, stress, don, exam, studying, feeling, brain"
6,"bsdk, padhle, padhle bsdk, stress",1510,2.14,Mental Health & Wellbeing,Emotional Distress,"bsdk, padhle, padhle bsdk, stress, suicidal, depressed, depression, anxiety, shear, stresses"
23,"company, interview, hr, ghosted",1469,2.09,"Careers, Placements & Jobs",Career Distress,"company, interview, hr, ghosted, round, offer, job, manager, companies, interviews"
15,"modules, books, book, cengage",1420,2.02,Coaching & Study Resources,Informational / Low-Distress,"modules, books, book, cengage, hcv, allen, jee, pdf, physics, pyqs"
17,"results, cbse, result, release",1370,1.95,Coaching & Study Resources,Academic Distress,"results, cbse, result, release, date, tomorrow, today, digilocker, anxiety, news"
21,"commerce, science, stream, pcm",1350,1.92,College & Academic Decisions,Informational / Low-Distress,"commerce, science, stream, pcm, maths, humanities, school, don, subjects, choose"
18,"advanced, jee advanced, jee, adv",1306,1.85,Entrance Exam Preparation,Academic Distress,"advanced, jee advanced, jee, adv, jee adv, mains, advance, jee advance, fucked, jee mains"
28,"engineering, computer, electrical, major",1288,1.83,College & Academic Decisions,Informational / Low-Distress,"engineering, computer, electrical, major, ee, mechanical, degree, coding, cs, software"
25,"coaching, online, offline, batch",1222,1.74,Coaching & Study Resources,Institutional Distress,"coaching, online, offline, batch, allen, pw, offline coaching, jee, teachers, online coaching"
11,"wasted, poll, view poll, view",1133,1.61,Coping & Meme Culture,Coping Expression,"wasted, poll, view poll, view, barbaad, jee, canon, syllabus, canon event, event"
36,"cgpa, sem, semester, college",1107,1.57,College & Academic Decisions,Academic Distress,"cgpa, sem, semester, college, backlogs, placements, backlog, tier, placement, exams"
31,"neet, bsc, pcb, mbbs",1026,1.46,Entrance Exam Preparation,Academic Distress,"neet, bsc, pcb, mbbs, career, myquals, don, doctor, parents, college"
33,"exam, card, admit card, admit",995,1.41,Coaching & Study Resources,Institutional Distress,"exam, card, admit card, admit, centre, form, center, invigilator, certificate, paper"
29,"ece, cse, vs, btech",962,1.37,College & Academic Decisions,Informational / Low-Distress,"ece, cse, vs, btech, btech cse, core, cs, eee, ai, specialization"
14,"hopium, copium, prodijee, percentile",959,1.36,Coping & Meme Culture,Coping Expression,"hopium, copium, prodijee, percentile, marks, dedo, shift, lelo, ile, hopium dedo"
32,"improvement, compartment, improvement exam, exam",856,1.22,Entrance Exam Preparation,Academic Distress,"improvement, compartment, improvement exam, exam, cbse, nios, pcm, board, marks, subjects"
24,"cooked, marks, chat, shift",836,1.19,Coping & Meme Culture,Coping Expression,"cooked, marks, chat, shift, maths, boards, jee, physics, exam, percentile"
38,"bitsat, test series, series, test",794,1.13,Entrance Exam Preparation,Academic Distress,"bitsat, test series, series, test, mathongo, jee, tests, mains, mathongo test, allen"
27,"partial, partial drop, drop, dropper",767,1.09,Entrance Exam Preparation,Academic Distress,"partial, partial drop, drop, dropper, double, double dropper, droppers, double droppers, jee, double drop"
20,"tcs, nqt, tcs nqt, ninja",748,1.06,"Careers, Placements & Jobs",Career Distress,"tcs, nqt, tcs nqt, ninja, digital, joining, offer, prime, tcs ninja, tcs digital"
19,"p1, p2, interview, told",649,0.92,"Careers, Placements & Jobs",Career Distress,"p1, p2, interview, told, answered, m1, answer, m2, questions, sir"
30,"chud, guru, lag, rassi",608,0.86,Coping & Meme Culture,Coping Expression,"chud, guru, lag, rassi, barbaad, bc, dimag kharab, kharab, dimag, laude lag"
22,"daddy, alecc, alecc daddy, anup",544,0.77,Coping & Meme Culture,Coping Expression,"daddy, alecc, alecc daddy, anup, anup daddy, sir, nishant, alakh, pw, sub"
40,"fiitjee, aits, teachers, centre",498,0.71,Coaching & Study Resources,Institutional Distress,"fiitjee, aits, teachers, centre, fiitjee aits, aakash, delhi, noida, test, closed"
