level_1,level_2,requires_supporting_posts
Academic Distress,Competitive Exam Pressure,True
Academic Distress,Academic Failure,True
Academic Distress,Burnout,True
Career Distress,Placement Anxiety,True
Career Distress,Career Uncertainty,True
Social Distress,Family Expectations,True
Social Distress,Social Isolation,True
Social Distress,Identity Crisis,True
Institutional Distress,Coaching Frustration,True
Institutional Distress,NTA Frustration,True
Institutional Distress,College Administration Issues,True
Cultural Expression,Meme Distress,True
Cultural Expression,Coping Humor,True
Cultural Expression,Community Coping Rituals,True
