Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
80,don_college_jee_job_exam,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",78,jee_drop_physics_maths_coaching,79,don_job_college_work_ve,1.8219842368222978
79,don_job_college_work_ve,"[0, 1, 3, 4, 5, 7, 9, 10, 12, 13, 17, 19, 20, 21, 23, 26, 28, 29, 31, 32, 33, 34, 36, 37, 39]",77,engineering_job_college_work_don,71,don_cat_exam_life_study,1.3818552657054104
78,jee_drop_physics_maths_coaching,"[2, 6, 8, 11, 14, 15, 16, 18, 22, 24, 25, 27, 30, 35, 38, 40]",76,bsdk_cooked_hopium_daddy_alecc,75,jee_drop_physics_maths_coaching,1.210386450489313
77,engineering_job_college_work_don,"[0, 1, 4, 5, 7, 13, 20, 23, 28, 29, 36, 37]",65,gate_cse_college_ece_branch,73,engineering_job_work_company_ve,1.0340316828210383
76,bsdk_cooked_hopium_daddy_alecc,"[6, 14, 22, 24, 30]",74,bsdk_daddy_alecc_alecc daddy_padhle,70,cooked_hopium_copium_chud_prodijee,1.0163977671642042
75,jee_drop_physics_maths_coaching,"[2, 8, 11, 15, 16, 18, 25, 27, 35, 38, 40]",72,physics_jee_maths_coaching_sir,68,drop_jee_advanced_partial_mains,0.9966195800253254
74,bsdk_daddy_alecc_alecc daddy_padhle,"[6, 22]",22,daddy_alecc_alecc daddy_anup_anup daddy,6,bsdk_padhle_padhle bsdk_stress_suicidal,0.9873107079447762
73,engineering_job_work_company_ve,"[0, 4, 7, 13, 20, 23, 28, 37]",66,engineering_job_work_company_ve,20,tcs_nqt_tcs nqt_ninja_digital,0.9785980856684775
72,physics_jee_maths_coaching_sir,"[2, 8, 11, 15, 25, 35, 40]",40,fiitjee_aits_teachers_centre_fiitjee aits,63,physics_jee_maths_coaching_sir,0.9477522031659332
71,don_cat_exam_life_study,"[3, 9, 10, 12, 17, 19, 21, 26, 31, 32, 33, 34, 39]",67,cat_don_life_exam_didn,59,cbse_boards_marks_results_board,0.9477052838438944
