topic_id,theme,distress_type,most_distinctive_keywords
2,General Venting,Coping Expression,"din, baad, saal"
0,"Careers, Placements & Jobs",Career Distress,"dsa, leetcode, coding"
10,Higher Studies & Global Mobility,Career Distress,"cat, mba, iim"
37,College & Academic Decisions,Informational / Low-Distress,"engineering, semester, classes"
39,Entrance Exam Preparation,Academic Distress,"jee, school, parents"
4,"Careers, Placements & Jobs",Career Distress,"lpa, company, role"
3,Entrance Exam Preparation,Academic Distress,"upsc, prelims, attempt"
12,Entrance Exam Preparation,Academic Distress,"boards, marks, board"
5,College & Academic Decisions,Informational / Low-Distress,"branch, cse, college"
8,Coaching & Study Resources,Academic Distress,"sir, maths, hain"
16,Entrance Exam Preparation,Academic Distress,"drop, jee, college"
7,"Careers, Placements & Jobs",Career Distress,"internship, resume, job"
1,Higher Studies & Global Mobility,Career Distress,"gate, mtech, exam"
13,Higher Studies & Global Mobility,Career Distress,"india, abroad, masters"
35,Entrance Exam Preparation,Academic Distress,"physics, chemistry, maths"
9,Entrance Exam Preparation,Academic Distress,"cat, varc, mocks"
26,Mental Health & Wellbeing,Emotional Distress,"friends, life, college"
34,Mental Health & Wellbeing,Emotional Distress,"sleep, study, hours"
6,Mental Health & Wellbeing,Emotional Distress,"bsdk, padhle, padhle bsdk"
23,"Careers, Placements & Jobs",Career Distress,"company, interview, hr"
15,Coaching & Study Resources,Informational / Low-Distress,"modules, books, book"
17,Coaching & Study Resources,Academic Distress,"results, cbse, result"
21,College & Academic Decisions,Informational / Low-Distress,"commerce, science, stream"
18,Entrance Exam Preparation,Academic Distress,"advanced, jee advanced, jee"
28,College & Academic Decisions,Informational / Low-Distress,"engineering, computer, electrical"
25,Coaching & Study Resources,Institutional Distress,"coaching, online, offline"
11,Coping & Meme Culture,Coping Expression,"wasted, poll, view poll"
36,College & Academic Decisions,Academic Distress,"cgpa, sem, semester"
31,Entrance Exam Preparation,Academic Distress,"neet, bsc, pcb"
33,Coaching & Study Resources,Institutional Distress,"exam, card, admit card"
29,College & Academic Decisions,Informational / Low-Distress,"ece, cse, vs"
14,Coping & Meme Culture,Coping Expression,"hopium, copium, prodijee"
32,Entrance Exam Preparation,Academic Distress,"improvement, compartment, improvement exam"
24,Coping & Meme Culture,Coping Expression,"cooked, marks, chat"
38,Entrance Exam Preparation,Academic Distress,"bitsat, test series, series"
27,Entrance Exam Preparation,Academic Distress,"partial, partial drop, drop"
20,"Careers, Placements & Jobs",Career Distress,"tcs, nqt, tcs nqt"
19,"Careers, Placements & Jobs",Career Distress,"p1, p2, interview"
30,Coping & Meme Culture,Coping Expression,"chud, guru, lag"
22,Coping & Meme Culture,Coping Expression,"daddy, alecc, alecc daddy"
40,Coaching & Study Resources,Institutional Distress,"fiitjee, aits, teachers"
